LAMMPS data file via write_data, version 29 Oct 2020, timestep = 0

72 atoms
7 0.65 -0.25 0.67 0
8 0.65 -0.25 0.67 0
9 -0.356 -0.174 0.492 0
10 -0.356 -0.174 0.492 0
11 0 0 0.468 0
12 -0.356 -0.174 0.492 0
13 0 0 0.468 0
14 1.711 -0.5 0.663 0
15 0 0 0.468 0
16 0 0 0.3 0
17 0 0 0.468 0
18 0 0 0.468 0
19 0 0 0.468 0
20 0 0 0.3 0
21 0 0 0.76 0
22 0 0 0.3 0
23 0 0 0.3 0
24 0.65 -0.25 0.67 0
25 0.65 -0.25 0.67 0
26 1.3 -0.2 0.2 0
27 4.319 0 0 0
28 0 0 0.3 0
29 0 0 0.3 0
30 -1.552 0 0 0
31 0 0 0.468 0
32 0 0 0.468 0
33 0 0 0.3 0
34 0 0 0.468 0
35 0 0 0.76 0
36 0 0 0.468 0
37 1.3 -0.2 0.2 0
38 0 0 0.3 0
39 0 0 0.3 0
40 0 0 0.468 0
41 0 0 0.3 0
42 0 0 0.76 0
43 0.65 -0.25 0.67 0
44 4.319 0 0 0
45 0 0 0.76 0
46 0 0 0.3 0
47 0 0 0.3 0
48 0 0 0.3 0
49 1.3 -0.2 0.2 0
50 0 0 0.76 0
51 0 0 0.76 0
52 -0.55 0 0 0
53 -0.356 -0.174 0.492 0
54 0 0 0.3 0
55 0 0 0.3 0
56 0 0 0.468 0
57 0 0 0.352 0
58 0 0 0.76 0
59 0 0 0.468 0
60 0 0 0.352 0
61 0.65 -0.25 0.67 0
62 -1.552 0 0 0
63 0 0 0.76 0
64 0 0 0.3 0
65 0 0 0.468 0
66 0 0 0.3 0
67 0 0 0.3 0
68 -0.375 -1.358 0.004 0
69 0 0 0.3 0
70 1.711 -0.5 0.663 0
71 0 0 0.468 0
72 -1.552 0 0 0
73 0 0 0.3 0
74 0 0 0.3 0
75 -1.552 0 0 0
76 0 0 0.468 0
77 0 0 0.3 0
78 0 0 0.3 0
79 0 0 0.76 0
80 -0.55 0 0 0
81 0 0 0.3 0
82 0 0 0.3 0
83 0 0 0.352 0
84 -0.356 -0.174 0.492 0
85 0 0 0.468 0
86 0 0 0.3 0
87 0 0 0.468 0
88 4.319 0 0 0
89 -1.257 -1.806 0.003 0
90 0 0 0.3 0
91 0.65 -0.25 0.67 0
92 -0.375 -1.358 0.004 0
93 0 0 0.76 0
94 0.65 -0.25 0.67 0
95 0.65 -0.25 0.67 0
96 0 0 0.76 0
97 4.319 0 0 0
98 1.711 -0.5 0.663 0
99 0 0 0.468 0
100 -0.55 0 0 0
101 1.711 -0.5 0.663 0
102 0 0 0.468 0

Improper Coeffs # cvff

1 0 -1 2
2 0 -1 2
3 0 -1 2
4 0 -1 2
5 0 -1 2
6 0 -1 2
7 0 -1 2
8 0 -1 2
9 0 -1 2
10 0 -1 2
11 0 -1 2
12 0 -1 2
13 0 -1 2
14 0 -1 2
15 0 -1 2
16 0 -1 2
17 0 -1 2
18 0 -1 2
19 0 -1 2
20 0 -1 2

Atoms # full

1 1 1 -0.6817 -5.275392 -0.5486900000000003 0.20660649999999997 0 0 0
2 1 2 0.114 -3.872884 -0.6369370000000004 -0.10308149999999999 0 0 0
3 1 3 0.0994 -3.2533999999999996 -1.8526870000000004 0.5846994999999999 0 0 0
4 1 4 -0.6923 -3.932336 -3.0137940000000003 0.05892349999999996 0 0 0
5 1 5 -0.0333 -1.7274789999999998 -1.9178760000000004 0.3586025 0 0 0
6 1 6 -0.405 -1.08678 -2.887166 1.2289805 0 0 0
7 1 7 0.0059 -1.4390899999999993 -4.243358000000001 0.9617365 0 0 0
8 1 8 -0.2477 -2.7327139999999996 -4.579643000000001 1.6782674999999998 0 0 0
9 1 9 0.2482 -1.093305 -0.5414550000000005 0.6742144999999999 0 0 0
10 1 10 -0.6054 0.25515100000000057 -0.5486900000000003 0.20660649999999997 0 0 0
11 1 11 -0.3168 -1.7471459999999999 0.5534409999999996 0.05758449999999998 0 0 0
12 1 12 0.076 -3.1561009999999996 0.6644809999999997 0.2728285 0 0 0
13 1 13 -0.0145 -3.6071079999999998 1.7719429999999996 -0.7019095 0 0 0
14 1 14 -0.3661 -2.8107699999999998 2.947131 -0.5245915 0 0 0
15 1 15 0.0105 -3.29391 4.0273319999999995 -1.3196725 0 0 0
16 1 16 -0.2446 -2.4110979999999995 5.235592 -1.0845615 0 0 0
17 1 17 0.4161 -5.646152 0.09369899999999953 -0.4288305 0 0 0
18 1 18 0.1151 -3.815403 -0.8006950000000004 -1.1854345 0 0 0
19 1 19 0.1524 -3.4634549999999997 -1.8337820000000005 1.6604284999999999 0 0 0
20 1 20 0.411 -3.4382119999999996 -3.3080810000000005 -0.7271164999999999 0 0 0
