# Time-averaged data for fix st
# TimeStep v_st
20450 119.29
20500 105.512
20550 22.471
20600 31.5162
20650 -159.474
20700 75.8999
20750 64.2976
20800 60.7271
20850 56.8241
20900 62.2778
20950 12.9096
21000 85.8408
21050 -97.1496
21100 -135.638
21150 306.721
21200 -34.5845
21250 -4.63691
21300 85.9197
21350 292.766
21400 300.721
21450 11.749
21500 15.6741
21550 299.109
21600 160.182
21650 120.521
21700 -69.1918
21750 -34.0443
21800 -60.751
21850 48.7199
21900 -48.7675
21950 301.585
22000 257.359
22050 5.23526
22100 -308.97
22150 -69.9685
22200 43.0422
22250 448.606
22300 150.527
22350 -159.726
22400 5.70068
22450 -29.2618
22500 -78.5614
22550 -184.738
22600 85.5212
22650 102.971
22700 150.183
22750 87.9337
22800 -121.94
22850 -92.447
22900 -38.351
22950 253.209
23000 67.2795
23050 -176.626
23100 90.0954
23150 -88.4479
23200 92.5103
23250 191.548
23300 -8.22918
23350 -111.805
23400 -91.1414
23450 40.9543
23500 175.288
23550 -51.4143
23600 47.6085
23650 76.9222
23700 116.798
23750 -80.9063
23800 -137.074
23850 75.8659
23900 122.234
23950 -37.8804
24000 -13.9459
24050 152.561
24100 24.9656
24150 187.821
24200 89.6781
24250 176.126
24300 18.7584
24350 -4.71817
24400 76.8346
24450 120.312
24500 17.8462
24550 -203.669
24600 -166.227
24650 117.794
24700 177.572
24750 203.618
24800 -21.3344
24850 75.905
24900 18.0148
24950 17.7006
25000 170.467
25050 245.648
25100 185.649
25150 -4.47787
25200 9.4113
25250 3.49525
25300 84.9476
25350 58.3933
25400 13.7583
25450 225.606
25500 275.96
25550 171.121
25600 92.4745
25650 135.685
25700 49.4147
25750 97.9088
25800 219.618
25850 86.0619
25900 270.392
25950 228.414
26000 78.8688
26050 -61.0087
26100 206.214
26150 135.867
26200 179.834
26250 12.9961
26300 -104.859
26350 -4.15234
26400 -39.4172
26450 71.1901
26500 -118.428
26550 200.563
26600 261.792
26650 40.2905
26700 84.7512
26750 -94.9413
26800 -57.2821
26850 31.7163
26900 199.922
26950 98.4202
27000 -69.5075
27050 -67.3218
27100 -116.448
27150 -46.9844
27200 1.48128
27250 130.361
27300 70.7086
27350 21.0785
27400 158.027
27450 -42.5266
27500 204.052
27550 34.0532
27600 150.113
27650 78.8182
27700 -53.3518
27750 96.2616
27800 58.2361
27850 223.671
27900 105.368
27950 153.888
28000 -5.76987
28050 159.606
28100 39.0312
28150 8.06464
28200 -181.342
28250 -47.0838
28300 125.796
28350 288.352
28400 171.277
28450 120.085
28500 163.907
28550 121.178
28600 210.846
28650 253.312
28700 27.1977
28750 -57.9314
28800 203.994
28850 17.6624
28900 21.987
28950 -124.362
29000 -14.223
29050 90.9415
29100 189.533
29150 -130.214
29200 -63.6926
29250 99.7045
29300 203.951
29350 25.3654
29400 -59.7451
29450 158.253
29500 362.478
29550 197.614
29600 152.604
29650 216.764
29700 293.872
29750 298.81
29800 277.752
29850 294.772
29900 73.7227
29950 179.771
30000 292.305
30050 300.403
30100 210.998
30150 45.1046
30200 174.972
30250 318.205
30300 328.233
30350 -80.8339
30400 70.9561
30450 -49.9763
30500 100.32
30550 182.196
30600 245.302
30650 167.19
30700 114.232
30750 -83.6562
30800 -286.271
30850 -95.8193
30900 97.1928
30950 160.805
31000 163.983
31050 -59.0909
31100 -97.3254
31150 -8.21891
31200 37.7138
31250 -4.9789
31300 -2.41512
31350 124.262
31400 -123.509
31450 -85.9528
31500 5.19154
31550 57.022
31600 128.175
31650 -134.643
31700 -0.928833
31750 -31.282
31800 20.676
31850 143.739
31900 -43.2336
31950 -48.9749
32000 68.2105
32050 92.0831
32100 77.5179
32150 -110.925
32200 -157.846
32250 -88.7478
32300 -123.504
32350 75.6076
32400 34.138
32450 127.628
32500 39.7402
32550 170.206
32600 -71.6118
32650 119.421
32700 108.065
32750 336.592
32800 128.932
32850 161.403
32900 279.361
32950 -23.4961
33000 78.639
33050 227.809
33100 126.304
33150 57.4794
33200 128.442
33250 234.055
33300 298.783
33350 106.877
33400 289.532
33450 221.819
33500 187.738
33550 97.2705
33600 325.317
33650 65.5537
33700 115.726
33750 214.875
33800 112.264
33850 94.8247
33900 22.3932
33950 181.322
34000 29.6033
34050 145.633
34100 278.439
34150 145.6
