LAMMPS data file via write_data, version 23 Jun 2022, timestep = 500000

648 atoms
2 atom types
432 bonds
1 bond types
216 angles
1 angle types

-9.3 9.3 xlo xhi
-9.3 9.3 ylo yhi
-37.2 37.2 zlo zhi

Masses

1 1.00794
2 15.9994

Atoms # full

189 63 1 0.5564 -5.311777790416045 -1.6111204424990546 -1.2162301850564285 0 0 -1
459 153 1 0.5564 -2.2523625647278087 -6.845265651674103 -0.4409603291430655 0 0 0
187 63 2 -1.1128 -6.04435125342328 -1.4010355555696021 -0.637065013959513 0 0 -1
287 96 1 0.5564 -2.9249173747300103 -4.415920304937183 -0.016982868414312804 1 1 -1
397 133 2 -1.1128 -4.958839517417916 -6.0776163665760965 6.623884768159375 0 1 0
398 133 1 0.5564 -4.6422783228892515 -5.220322292866289 6.33916081997537 0 1 0
399 133 1 0.5564 -5.6670052867142395 -6.286407306077391 6.014672626421677 0 1 0
62 21 1 0.5564 -5.919874437813602 -0.6904234574495677 5.738148364352335 0 1 -1
83 28 1 0.5564 -1.134253858950578 -4.4711121593984755 5.6694112188272525 0 1 -1
82 28 2 -1.1128 -1.0569623117666476 -3.686490058721821 6.212205839896551 0 1 -1
84 28 1 0.5564 -0.1549372748982842 -3.7038202393892625 6.532021989413244 0 1 -1
458 153 1 0.5564 -3.321064830815504 -7.146964153418766 0.5879947712343961 0 0 0
406 136 2 -1.1128 -7.424928129261207 -1.936598711720478 6.236237913104179 0 0 0
407 136 1 0.5564 -7.986351642491268 -1.7569002506513558 6.990389034433897 0 0 0
350 117 1 0.5564 -3.7665697576217894 -2.775701777956889 6.294348142515289 0 0 0
185 62 1 0.5564 -7.241453896892438 -8.37191547389511 5.096575888374451 -1 0 -1
184 62 2 -1.1128 -7.081240974661087 -7.437806647888418 5.230756187401855 -1 0 -1
143 48 1 0.5564 -6.560805727733414 -2.9972769937944346 7.802439909271743 1 0 -1
37 13 2 -1.1128 -3.842606924336041 -8.556217876180876 1.533605861053114 -1 -1 -1
38 13 1 0.5564 -3.3177030783643167 -8.786884039916346 2.3000919337369505 -1 -1 -1
164 55 1 0.5564 -3.325871679733092 -7.126486747639092 6.3100774678193625 0 1 -1
349 117 2 -1.1128 -4.417666052014181 -3.4772578244190173 6.305506252386042 0 0 0
408 136 1 0.5564 -7.80390720202238 -2.7191559199756674 5.835974357645562 0 0 0
484 162 2 -1.1128 -2.039415829675025 -2.52747252759089 3.1823154318063955 1 1 0
