# Time-averaged data for fix strunning
# TimeStep v_st
22550 95.6696
22600 95.5918
22650 95.6412
22700 95.8051
22750 95.8138
22800 95.2551
22850 94.8895
22900 94.5984
22950 94.8994
23000 94.9014
23050 94.3751
23100 94.3814
23150 94.0283
23200 94.0195
23250 94.2501
23300 94.1166
23350 93.701
23400 93.3176
23450 93.1017
23500 93.2647
23550 92.9792
23600 92.9011
23650 92.7804
23700 92.822
23750 92.4255
23800 91.898
23850 91.7887
23900 91.8167
23950 91.6405
24000 91.4158
24050 91.5426
24100 91.3223
24150 91.591
24200 91.5303
24250 91.7312
24300 91.6023
24350 91.4173
24400 91.3663
24450 91.4814
24500 91.3558
24550 90.7649
24600 90.1518
24650 90.2638
24700 90.3972
24750 90.634
24800 90.4308
24850 90.3981
24900 90.2648
24950 90.0943
25000 90.2384
25050 90.5475
25100 90.7621
25150 90.6525
25200 90.4579
25250 90.2995
25300 90.2961
25350 90.2398
25400 90.1174
25450 90.3597
25500 90.782
25550 90.9455
25600 90.8863
25650 90.9259
25700 90.8486
25750 90.8232
25800 91.1036
25850 91.0712
25900 91.3804
25950 91.6544
26000 91.5942
26050 91.2929
26100 91.5418
26150 91.6445
26200 91.8343
26250 91.653
26300 91.3379
26350 91.1
26400 90.833
26450 90.8606
26500 90.5136
26550 90.6823
26600 91.0473
26650 90.9976
26700 91.0444
26750 90.7484
26800 90.4637
26850 90.3552
26900 90.5415
26950 90.5462
27000 90.2721
27050 89.8774
27100 89.5228
27150 89.2276
27200 89.0509
27250 89.1248
27300 89.1471
27350 89.079
27400 89.1873
27450 89.003
27500 89.2226
27550 89.1084
27600 89.2077
27650 89.2111
27700 88.9177
27750 88.9598
27800 88.8862
27850 89.1024
27900 89.1302
27950 89.2775
28000 89.1321
28050 89.1919
28100 89.0975
28150 88.9628
28200 88.425
28250 88.1869
28300 88.2207
28350 88.513
28400 88.6277
28450 88.715
28500 88.8086
28550 88.8936
28600 89.1149
28650 89.3866
28700 89.2939
28750 89.0519
28800 89.1504
28850 89.0824
28900 88.9257
28950 88.5685
29000 88.3553
29050 88.3256
29100 88.5399
29150 88.1816
29200 87.9559
29250 87.9389
29300 88.1962
29350 88.0966
29400 87.7972
29450 87.8793
29500 88.2809
29550 88.5112
29600 88.6303
29650 88.8244
29700 89.1415
29750 89.5161
29800 89.8073
29850 90.1409
29900 90.144
29950 90.3588
30000 90.6607
30050 90.9924
30100 91.1918
30150 91.1617
30200 91.2698
30250 91.6537
30300 92.0387
30350 91.8048
30400 91.7788
30450 91.5496
30500 91.4893
30550 91.6469
30600 91.9109
30650 92.0944
30700 92.1337
30750 91.8639
30800 91.2218
30850 90.896
30900 90.8755
30950 91.0077
31000 91.1069
31050 90.8595
31100 90.517
31150 90.3526
31200 90.2519
31250 90.1252
31300 89.9729
31350 90.0874
31400 89.7672
31450 89.445
31500 89.3166
31550 89.2314
31600 89.3145
31650 88.9895
31700 88.8854
31750 88.7423
31800 88.6613
